Episode:61900; alpha=0.01000; gamma=0.99000; epsilon=0.07000; alphaDecay=0.99995; epsilonDecay=0.99995; alphaMin=0.01000; epsilonMin=0.07000; B_ENEMY_X=7; B_ENEMY_Y=7; B_ANGLE=8; B_DISTANCE=6; B_FIRE=2; STATES=4589; ACTIONS=10
Episode:62000; alpha=0.01000; gamma=0.99000; epsilon=0.07000; alphaDecay=0.99995; epsilonDecay=0.99995; alphaMin=0.01000; epsilonMin=0.07000; B_ENEMY_X=7; B_ENEMY_Y=7; B_ANGLE=8; B_DISTANCE=6; B_FIRE=2; STATES=4590; ACTIONS=10
Episode:62100; alpha=0.01000; gamma=0.99000; epsilon=0.07000; alphaDecay=0.99995; epsilonDecay=0.99995; alphaMin=0.01000; epsilonMin=0.07000; B_ENEMY_X=7; B_ENEMY_Y=7; B_ANGLE=8; B_DISTANCE=6; B_FIRE=2; STATES=4590; ACTIONS=10
Episode:62200; alpha=0.01000; gamma=0.99000; epsilon=0.07000; alphaDecay=0.99995; epsilonDecay=0.99995; alphaMin=0.01000; epsilonMin=0.07000; B_ENEMY_X=7; B_ENEMY_Y=7; B_ANGLE=8; B_DISTANCE=6; B_FIRE=2; STATES=4590; ACTIONS=10
Episode:62300; alpha=0.01000; gamma=0.99000; epsilon=0.07000; alphaDecay=0.99995; epsilonDecay=0.99995; alphaMin=0.01000; epsilonMin=0.07000; B_ENEMY_X=7; B_ENEMY_Y=7; B_ANGLE=8; B_DISTANCE=6; B_FIRE=2; STATES=4590; ACTIONS=10
Episode:62400; alpha=0.01000; gamma=0.99000; epsilon=0.07000; alphaDecay=0.99995; epsilonDecay=0.99995; alphaMin=0.01000; epsilonMin=0.07000; B_ENEMY_X=7; B_ENEMY_Y=7; B_ANGLE=8; B_DISTANCE=6; B_FIRE=2; STATES=4590; ACTIONS=10
Episode:62500; alpha=0.01000; gamma=0.99000; epsilon=0.07000; alphaDecay=0.99995; epsilonDecay=0.99995; alphaMin=0.01000; epsilonMin=0.07000; B_ENEMY_X=7; B_ENEMY_Y=7; B_ANGLE=8; B_DISTANCE=6; B_FIRE=2; STATES=4590; ACTIONS=10
Episode:62600; alpha=0.01000; gamma=0.99000; epsilon=0.07000; alphaDecay=0.99995; epsilonDecay=0.99995; alphaMin=0.01000; epsilonMin=0.07000; B_ENEMY_X=7; B_ENEMY_Y=7; B_ANGLE=8; B_DISTANCE=6; B_FIRE=2; STATES=4590; ACTIONS=10
Episode:62700; alpha=0.01000; gamma=0.99000; epsilon=0.07000; alphaDecay=0.99995; epsilonDecay=0.99995; alphaMin=0.01000; epsilonMin=0.07000; B_ENEMY_X=7; B_ENEMY_Y=7; B_ANGLE=8; B_DISTANCE=6; B_FIRE=2; STATES=4590; ACTIONS=10
Episode:62800; alpha=0.01000; gamma=0.99000; epsilon=0.07000; alphaDecay=0.99995; epsilonDecay=0.99995; alphaMin=0.01000; epsilonMin=0.07000; B_ENEMY_X=7; B_ENEMY_Y=7; B_ANGLE=8; B_DISTANCE=6; B_FIRE=2; STATES=4590; ACTIONS=10
Episode:62900; alpha=0.01000; gamma=0.99000; epsilon=0.07000; alphaDecay=0.99995; epsilonDecay=0.99995; alphaMin=0.01000; epsilonMin=0.07000; B_ENEMY_X=7; B_ENEMY_Y=7; B_ANGLE=8; B_DISTANCE=6; B_FIRE=2; STATES=4590; ACTIONS=10
Episode:63000; alpha=0.01000; gamma=0.99000; epsilon=0.07000; alphaDecay=0.99995; epsilonDecay=0.99995; alphaMin=0.01000; epsilonMin=0.07000; B_ENEMY_X=7; B_ENEMY_Y=7; B_ANGLE=8; B_DISTANCE=6; B_FIRE=2; STATES=4590; ACTIONS=10
Episode:63100; alpha=0.01000; gamma=0.99000; epsilon=0.07000; alphaDecay=0.99995; epsilonDecay=0.99995; alphaMin=0.01000; epsilonMin=0.07000; B_ENEMY_X=7; B_ENEMY_Y=7; B_ANGLE=8; B_DISTANCE=6; B_FIRE=2; STATES=4590; ACTIONS=10
Episode:63200; alpha=0.01000; gamma=0.99000; epsilon=0.07000; alphaDecay=0.99995; epsilonDecay=0.99995; alphaMin=0.01000; epsilonMin=0.07000; B_ENEMY_X=7; B_ENEMY_Y=7; B_ANGLE=8; B_DISTANCE=6; B_FIRE=2; STATES=4590; ACTIONS=10
Episode:63300; alpha=0.01000; gamma=0.99000; epsilon=0.07000; alphaDecay=0.99995; epsilonDecay=0.99995; alphaMin=0.01000; epsilonMin=0.07000; B_ENEMY_X=7; B_ENEMY_Y=7; B_ANGLE=8; B_DISTANCE=6; B_FIRE=2; STATES=4590; ACTIONS=10
